,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Value
24461,B6DBPI01,"Primary income, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,11702.75
24462,B6DBPI01,"Primary income, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,10322.7
24463,B6DBPI01,"Primary income, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,13301.39
24464,B6DBPI01,"Primary income, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,10808.06
24465,B6DBPI01,"Primary income, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,13406.57
24466,B6DBPI01,"Primary income, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,11820.02
24467,B6DBPI01,"Primary income, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,13355.87
24468,B6DBPI01,"Primary income, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,12228.05
24469,B6DBPI01,"Primary income, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,10547.36
37521,B6BLTT01,"Current account, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,-11174.0
37522,B6BLTT01,"Current account, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,-3833.3
37523,B6BLTT01,"Current account, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-6613.7
37524,B6BLTT01,"Current account, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-3637.0
37525,B6BLTT01,"Current account, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-11141.0
37526,B6BLTT01,"Current account, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,4389.5
37527,B6BLTT01,"Current account, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,-787.2
37528,B6BLTT01,"Current account, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,3197.7
37529,B6BLTT01,"Current account, balance",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,-981.8
37530,B6BLTD01,"Goods, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,-1765.7
37531,B6BLTD01,"Goods, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,-2783.1
37532,B6BLTD01,"Goods, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-5803.3
37533,B6BLTD01,"Goods, balance",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-3415.1
37534,B6BLTD01,"Goods, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-1815.3
37535,B6BLTD01,"Goods, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,4961.9
37536,B6BLTD01,"Goods, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,-1099.8
37537,B6BLTD01,"Goods, balance",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,3165.0
37538,B6BLTD01,"Goods, balance",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,3689.1
37539,B6CRTD01,"Goods, credits (exports)",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,105385.0
37540,B6CRTD01,"Goods, credits (exports)",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,113971.9
37541,B6CRTD01,"Goods, credits (exports)",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,114084.0
37542,B6CRTD01,"Goods, credits (exports)",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,117641.7
37543,B6CRTD01,"Goods, credits (exports)",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,108176.3
37550,B6DBTD01,"Goods, debits (imports)",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,119887.3
37551,B6DBTD01,"Goods, debits (imports)",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,121056.8
37552,B6DBTD01,"Goods, debits (imports)",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,109991.6
37553,B6DBTD01,"Goods, debits (imports)",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,114395.8
37554,B6DBTD01,"Goods, debits (imports)",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,117551.8
37555,B6DBTD01,"Goods, debits (imports)",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,113888.5
37556,B6DBTD01,"Goods, debits (imports)",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,104911.7
37557,B6BLSE01,"Goods, credits (exports)",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,-1902.0
37558,B6BLSE01,"Goods, credits (exports)",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,-2856.1
37559,B6BLSE01,"Goods, credits (exports)",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-3647.9
37560,B6BLSE01,"Goods, credits (exports)",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-2782.4
