,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Value
1137,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2018-10,Oct-2018,PC,Percentage,0,Units,42.5932
1138,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2018-11,Nov-2018,PC,Percentage,0,Units,41.4194
1139,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2018-12,Dec-2018,PC,Percentage,0,Units,44.5935
1140,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-01,Jan-2019,PC,Percentage,0,Units,45.9218
1141,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-02,Feb-2019,PC,Percentage,0,Units,48.4601
1142,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-03,Mar-2019,PC,Percentage,0,Units,46.9613
1143,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-04,Apr-2019,PC,Percentage,0,Units,45.5477
1144,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-05,May-2019,PC,Percentage,0,Units,44.0229
1145,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-06,Jun-2019,PC,Percentage,0,Units,43.4616
1146,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-07,Jul-2019,PC,Percentage,0,Units,43.1508
1147,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-08,Aug-2019,PC,Percentage,0,Units,43.6864
1148,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-09,Sep-2019,PC,Percentage,0,Units,45.4035
1149,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-10,Oct-2019,PC,Percentage,0,Units,44.1405
1150,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-11,Nov-2019,PC,Percentage,0,Units,43.6262
1151,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2019-12,Dec-2019,PC,Percentage,0,Units,43.558
1152,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2020-01,Jan-2020,PC,Percentage,0,Units,44.0206
1153,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2020-02,Feb-2020,PC,Percentage,0,Units,43.7575
1154,CSCICP02,National indicator,BLSA,"Balance, s.a.",M,Monthly,2020-03,Mar-2020,PC,Percentage,0,Units,42.5536
1541,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2018-10,Oct-2018,PC,Percentage,0,Units,50.5404
1542,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2018-11,Nov-2018,PC,Percentage,0,Units,49.6736
1543,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2018-12,Dec-2018,PC,Percentage,0,Units,56.5397
1544,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-01,Jan-2019,PC,Percentage,0,Units,56.5104
1545,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-02,Feb-2019,PC,Percentage,0,Units,59.203
1546,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-03,Mar-2019,PC,Percentage,0,Units,56.9275
1547,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-04,Apr-2019,PC,Percentage,0,Units,53.3701
1548,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-05,May-2019,PC,Percentage,0,Units,50.1056
1549,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-06,Jun-2019,PC,Percentage,0,Units,48.1674
1550,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-07,Jul-2019,PC,Percentage,0,Units,48.5373
1551,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-08,Aug-2019,PC,Percentage,0,Units,49.2633
1552,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-09,Sep-2019,PC,Percentage,0,Units,52.0569
1553,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-10,Oct-2019,PC,Percentage,0,Units,49.5136
1554,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-11,Nov-2019,PC,Percentage,0,Units,48.6667
1555,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2019-12,Dec-2019,PC,Percentage,0,Units,48.3345
1556,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2020-01,Jan-2020,PC,Percentage,0,Units,48.3528
1557,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2020-02,Feb-2020,PC,Percentage,0,Units,47.9028
1558,CSESFT,Future tendency,BLSA,"Balance, s.a.",M,Monthly,2020-03,Mar-2020,PC,Percentage,0,Units,45.8352
