,SUBJECT,Subject,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value
361,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-06,Jun-2018,IDX,Index,0,Units,,,100.277
362,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-07,Jul-2018,IDX,Index,0,Units,,,100.8294
363,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-08,Aug-2018,IDX,Index,0,Units,,,101.1129
364,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-09,Sep-2018,IDX,Index,0,Units,,,101.1584
365,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-10,Oct-2018,IDX,Index,0,Units,,,100.9597
366,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-11,Nov-2018,IDX,Index,0,Units,,,100.413
367,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-12,Dec-2018,IDX,Index,0,Units,,,99.9873
368,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-01,Jan-2019,IDX,Index,0,Units,,,99.8256
369,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-02,Feb-2019,IDX,Index,0,Units,,,99.9211
370,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-03,Mar-2019,IDX,Index,0,Units,,,100.1247
371,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-04,Apr-2019,IDX,Index,0,Units,,,100.1756
372,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-05,May-2019,IDX,Index,0,Units,,,99.8695
373,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-06,Jun-2019,IDX,Index,0,Units,,,99.4538
374,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-07,Jul-2019,IDX,Index,0,Units,,,98.9237
375,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-08,Aug-2019,IDX,Index,0,Units,,,98.6515
376,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-09,Sep-2019,IDX,Index,0,Units,,,98.4002
377,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-10,Oct-2019,IDX,Index,0,Units,,,98.3053
378,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-11,Nov-2019,IDX,Index,0,Units,,,98.5295
379,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-12,Dec-2019,IDX,Index,0,Units,,,98.76700000000001
380,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2020-01,Jan-2020,IDX,Index,0,Units,,,98.7212
381,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2020-02,Feb-2020,IDX,Index,0,Units,,,97.9508
382,BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2020-03,Mar-2020,IDX,Index,0,Units,,,96.2357
1265,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-06,Jun-2018,IDX,Index,0,Units,,,99.5265
1266,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-07,Jul-2018,IDX,Index,0,Units,,,100.7295
1267,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-08,Aug-2018,IDX,Index,0,Units,,,101.3341
1268,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-09,Sep-2018,IDX,Index,0,Units,,,101.44200000000001
1269,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-10,Oct-2018,IDX,Index,0,Units,,,101.4518
1270,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-11,Nov-2018,IDX,Index,0,Units,,,101.6522
1271,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2018-12,Dec-2018,IDX,Index,0,Units,,,102.3569
1272,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-01,Jan-2019,IDX,Index,0,Units,,,103.1378
1273,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-02,Feb-2019,IDX,Index,0,Units,,,103.6534
1274,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-03,Mar-2019,IDX,Index,0,Units,,,103.5092
1275,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-04,Apr-2019,IDX,Index,0,Units,,,102.969
1276,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-05,May-2019,IDX,Index,0,Units,,,102.3746
1277,CSCICP03,"OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa",M,Monthly,2019-06,Jun-2019,IDX,Index,0,Units,,,102.0034
