,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,Reference Period Code,Reference Period,Value
5355,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2015-Q1,Q1-2015,IDX,Index,2015_100,2015=100,99.23991
5356,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2015-Q2,Q2-2015,IDX,Index,2015_100,2015=100,99.78354
5357,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2015-Q3,Q3-2015,IDX,Index,2015_100,2015=100,100.2606
5358,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2015-Q4,Q4-2015,IDX,Index,2015_100,2015=100,100.716
5359,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2016-Q1,Q1-2016,IDX,Index,2015_100,2015=100,101.3414
5360,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2016-Q2,Q2-2016,IDX,Index,2015_100,2015=100,101.9643
5361,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2016-Q3,Q3-2016,IDX,Index,2015_100,2015=100,102.5217
5362,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2016-Q4,Q4-2016,IDX,Index,2015_100,2015=100,103.066
5363,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,2015_100,2015=100,103.7923
5364,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,2015_100,2015=100,104.4466
5365,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,2015_100,2015=100,105.0479
5366,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,2015_100,2015=100,105.6515
5367,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2018-Q1,Q1-2018,IDX,Index,2015_100,2015=100,106.3202
5368,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2018-Q2,Q2-2018,IDX,Index,2015_100,2015=100,107.0371
5369,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2018-Q3,Q3-2018,IDX,Index,2015_100,2015=100,107.7243
5370,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2018-Q4,Q4-2018,IDX,Index,2015_100,2015=100,108.3855
5371,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,2015_100,2015=100,109.1312
5372,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2019-Q2,Q2-2019,IDX,Index,2015_100,2015=100,110.0817
5373,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2019-Q3,Q3-2019,IDX,Index,2015_100,2015=100,110.8343
5374,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2019-Q4,Q4-2019,IDX,Index,2015_100,2015=100,111.4941
5375,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,2015_100,2015=100,112.2946
5376,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2015-Q1,Q1-2015,IDX,Index,2015_100,2015=100,99.63968
5377,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2015-Q2,Q2-2015,IDX,Index,2015_100,2015=100,99.43742
5378,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2015-Q3,Q3-2015,IDX,Index,2015_100,2015=100,99.79252
5379,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2015-Q4,Q4-2015,IDX,Index,2015_100,2015=100,101.1304
5380,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2016-Q1,Q1-2016,IDX,Index,2015_100,2015=100,102.3237
5381,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2016-Q2,Q2-2016,IDX,Index,2015_100,2015=100,101.9817
5382,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2016-Q3,Q3-2016,IDX,Index,2015_100,2015=100,102.5708
5383,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2016-Q4,Q4-2016,IDX,Index,2015_100,2015=100,104.4106
5384,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,2015_100,2015=100,107.4183
5385,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,2015_100,2015=100,108.2005
5386,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,2015_100,2015=100,109.2204
5387,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,2015_100,2015=100,111.2953
5388,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2018-Q1,Q1-2018,IDX,Index,2015_100,2015=100,113.1177
5389,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2018-Q2,Q2-2018,IDX,Index,2015_100,2015=100,113.1431
5390,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2018-Q3,Q3-2018,IDX,Index,2015_100,2015=100,114.5854
5391,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2018-Q4,Q4-2018,IDX,Index,2015_100,2015=100,116.656
5392,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,2015_100,2015=100,117.7588
5393,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2019-Q2,Q2-2019,IDX,Index,2015_100,2015=100,117.9109
5394,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2019-Q3,Q3-2019,IDX,Index,2015_100,2015=100,118.381
5395,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2019-Q4,Q4-2019,IDX,Index,2015_100,2015=100,120.0862
5396,CPALTT01,CPI: 01-12 - All items,IXOB,Index,Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,2015_100,2015=100,121.756
5397,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2015-Q1,Q1-2015,IDX,Index,2015_100,2015=100,103.8198
5398,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2015-Q2,Q2-2015,IDX,Index,2015_100,2015=100,97.50676
5399,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2015-Q3,Q3-2015,IDX,Index,2015_100,2015=100,96.22997
5400,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2015-Q4,Q4-2015,IDX,Index,2015_100,2015=100,102.4434
5401,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2016-Q1,Q1-2016,IDX,Index,2015_100,2015=100,102.7073
5402,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2016-Q2,Q2-2016,IDX,Index,2015_100,2015=100,96.08839
5403,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2016-Q3,Q3-2016,IDX,Index,2015_100,2015=100,96.2259
5404,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2016-Q4,Q4-2016,IDX,Index,2015_100,2015=100,104.2411
5405,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,2015_100,2015=100,119.8879
5406,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,2015_100,2015=100,111.1021
5407,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,2015_100,2015=100,109.3154
5408,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,2015_100,2015=100,121.8751
5409,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2018-Q1,Q1-2018,IDX,Index,2015_100,2015=100,129.4515
5410,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2018-Q2,Q2-2018,IDX,Index,2015_100,2015=100,124.5548
5411,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2018-Q3,Q3-2018,IDX,Index,2015_100,2015=100,129.5198
5412,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2018-Q4,Q4-2018,IDX,Index,2015_100,2015=100,138.7934
5413,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,2015_100,2015=100,138.9924
5414,CPGREN01,CPI: Energy,IXOB,Index,Q,Quarterly,2019-Q2,Q2-2019,IDX,Index,2015_100,2015=100,131.8596
