,SUBJECT,Subject,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value
5016,PRINTO01,"Production of total industry sa, Index",A,Annual,2017,2017,IDX,Index,0,Units,2015_100,2015=100,109.1384
5017,PRINTO01,"Production of total industry sa, Index",Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,0,Units,2015_100,2015=100,109.6985
5018,PRINTO01,"Production of total industry sa, Index",Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,0,Units,2015_100,2015=100,109.4356
5019,PRINTO01,"Production of total industry sa, Index",Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,0,Units,2015_100,2015=100,108.5087
5020,PRINTO01,"Production of total industry sa, Index",Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,0,Units,2015_100,2015=100,108.9107
5021,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-01,Jan-2017,IDX,Index,0,Units,2015_100,2015=100,109.7404
5022,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-02,Feb-2017,IDX,Index,0,Units,2015_100,2015=100,109.6186
5023,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-03,Mar-2017,IDX,Index,0,Units,2015_100,2015=100,109.7365
5024,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-04,Apr-2017,IDX,Index,0,Units,2015_100,2015=100,109.4971
5025,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-05,May-2017,IDX,Index,0,Units,2015_100,2015=100,109.3881
5026,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-06,Jun-2017,IDX,Index,0,Units,2015_100,2015=100,109.4216
5027,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-07,Jul-2017,IDX,Index,0,Units,2015_100,2015=100,108.4362
5028,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-08,Aug-2017,IDX,Index,0,Units,2015_100,2015=100,108.7911
5029,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-09,Sep-2017,IDX,Index,0,Units,2015_100,2015=100,108.2988
5030,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-10,Oct-2017,IDX,Index,0,Units,2015_100,2015=100,108.8087
5031,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-11,Nov-2017,IDX,Index,0,Units,2015_100,2015=100,108.1969
5032,PRINTO01,"Production of total industry sa, Index",M,Monthly,2017-12,Dec-2017,IDX,Index,0,Units,2015_100,2015=100,109.7265
5033,PRINTO01,"Production of total industry sa, Index",M,Monthly,2018-01,Jan-2018,IDX,Index,0,Units,2015_100,2015=100,109.2166
5034,PRINTO01,"Production of total industry sa, Index",M,Monthly,2018-02,Feb-2018,IDX,Index,0,Units,2015_100,2015=100,110.3384
5035,PRMNTO01,"Production in total manufacturing sa, Index",A,Annual,2017,2017,IDX,Index,0,Units,2015_100,2015=100,104.3798
5036,PRMNTO01,"Production in total manufacturing sa, Index",A,Annual,2018,2018,IDX,Index,0,Units,2015_100,2015=100,106.3798
5037,PRMNTO01,"Production in total manufacturing sa, Index",A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,106.8568
5038,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,0,Units,2015_100,2015=100,104.62700000000001
5039,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,0,Units,2015_100,2015=100,104.3093
5040,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,0,Units,2015_100,2015=100,103.7934
5041,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,0,Units,2015_100,2015=100,105.2673
5042,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2018-Q1,Q1-2018,IDX,Index,0,Units,2015_100,2015=100,105.9952
5043,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2018-Q2,Q2-2018,IDX,Index,0,Units,2015_100,2015=100,106.2532
5044,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2018-Q3,Q3-2018,IDX,Index,0,Units,2015_100,2015=100,106.8001
5045,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2018-Q4,Q4-2018,IDX,Index,0,Units,2015_100,2015=100,106.4364
5046,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,0,Units,2015_100,2015=100,107.1714
5047,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2019-Q2,Q2-2019,IDX,Index,0,Units,2015_100,2015=100,107.5269
5048,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2019-Q3,Q3-2019,IDX,Index,0,Units,2015_100,2015=100,107.6356
5049,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2019-Q4,Q4-2019,IDX,Index,0,Units,2015_100,2015=100,105.1541
5050,PRMNTO01,"Production in total manufacturing sa, Index",Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,0,Units,2015_100,2015=100,103.5207
5051,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-01,Jan-2017,IDX,Index,0,Units,2015_100,2015=100,104.4684
5052,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-02,Feb-2017,IDX,Index,0,Units,2015_100,2015=100,104.2988
5053,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-03,Mar-2017,IDX,Index,0,Units,2015_100,2015=100,105.1139
5054,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-04,Apr-2017,IDX,Index,0,Units,2015_100,2015=100,104.8246
5055,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-05,May-2017,IDX,Index,0,Units,2015_100,2015=100,104.04700000000001
5056,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-06,Jun-2017,IDX,Index,0,Units,2015_100,2015=100,104.0564
5057,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-07,Jul-2017,IDX,Index,0,Units,2015_100,2015=100,104.1063
5058,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-08,Aug-2017,IDX,Index,0,Units,2015_100,2015=100,104.6685
5059,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-09,Sep-2017,IDX,Index,0,Units,2015_100,2015=100,102.6054
5060,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-10,Oct-2017,IDX,Index,0,Units,2015_100,2015=100,105.1688
5061,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-11,Nov-2017,IDX,Index,0,Units,2015_100,2015=100,105.2552
5062,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2017-12,Dec-2017,IDX,Index,0,Units,2015_100,2015=100,105.3778
5063,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-01,Jan-2018,IDX,Index,0,Units,2015_100,2015=100,104.9447
5064,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-02,Feb-2018,IDX,Index,0,Units,2015_100,2015=100,105.3306
5065,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-03,Mar-2018,IDX,Index,0,Units,2015_100,2015=100,107.7104
5066,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-04,Apr-2018,IDX,Index,0,Units,2015_100,2015=100,104.8715
5067,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-05,May-2018,IDX,Index,0,Units,2015_100,2015=100,106.9512
5068,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-06,Jun-2018,IDX,Index,0,Units,2015_100,2015=100,106.93700000000001
5069,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-07,Jul-2018,IDX,Index,0,Units,2015_100,2015=100,106.4183
5070,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-08,Aug-2018,IDX,Index,0,Units,2015_100,2015=100,106.78
5071,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-09,Sep-2018,IDX,Index,0,Units,2015_100,2015=100,107.2019
5072,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-10,Oct-2018,IDX,Index,0,Units,2015_100,2015=100,106.4216
5073,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-11,Nov-2018,IDX,Index,0,Units,2015_100,2015=100,107.2436
5074,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2018-12,Dec-2018,IDX,Index,0,Units,2015_100,2015=100,105.6439
5075,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-01,Jan-2019,IDX,Index,0,Units,2015_100,2015=100,107.0459
5076,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-02,Feb-2019,IDX,Index,0,Units,2015_100,2015=100,107.5733
5077,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-03,Mar-2019,IDX,Index,0,Units,2015_100,2015=100,106.8949
5078,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-04,Apr-2019,IDX,Index,0,Units,2015_100,2015=100,107.7512
5079,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-05,May-2019,IDX,Index,0,Units,2015_100,2015=100,107.3586
5080,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-06,Jun-2019,IDX,Index,0,Units,2015_100,2015=100,107.471
5081,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-07,Jul-2019,IDX,Index,0,Units,2015_100,2015=100,107.76899999999999
5082,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-08,Aug-2019,IDX,Index,0,Units,2015_100,2015=100,107.2187
5083,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-09,Sep-2019,IDX,Index,0,Units,2015_100,2015=100,107.9191
5084,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-10,Oct-2019,IDX,Index,0,Units,2015_100,2015=100,105.1862
5085,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-11,Nov-2019,IDX,Index,0,Units,2015_100,2015=100,105.2627
5086,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2019-12,Dec-2019,IDX,Index,0,Units,2015_100,2015=100,105.0134
5087,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2020-01,Jan-2020,IDX,Index,0,Units,2015_100,2015=100,105.5454
5088,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2020-02,Feb-2020,IDX,Index,0,Units,2015_100,2015=100,105.0073
5089,PRMNTO01,"Production in total manufacturing sa, Index",M,Monthly,2020-03,Mar-2020,IDX,Index,0,Units,2015_100,2015=100,100.0094
5090,PRENTO01,"Production of total energy sa, Index",A,Annual,2017,2017,IDX,Index,0,Units,2010_100,2010=100,98.43515
5091,PRENTO01,"Production of total energy sa, Index",A,Annual,2018,2018,IDX,Index,0,Units,2010_100,2010=100,107.45
5092,PRENTO01,"Production of total energy sa, Index",A,Annual,2019,2019,IDX,Index,0,Units,2010_100,2010=100,110.2782
5093,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,0,Units,2010_100,2010=100,99.25603000000001
5094,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,0,Units,2010_100,2010=100,98.96439000000001
5095,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,0,Units,2010_100,2010=100,97.5193
5096,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,0,Units,2010_100,2010=100,98.05367
5097,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2018-Q1,Q1-2018,IDX,Index,0,Units,2010_100,2010=100,107.2557
5098,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2018-Q2,Q2-2018,IDX,Index,0,Units,2010_100,2010=100,106.8038
5099,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2018-Q3,Q3-2018,IDX,Index,0,Units,2010_100,2010=100,109.0608
5100,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2018-Q4,Q4-2018,IDX,Index,0,Units,2010_100,2010=100,106.4073
5101,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,0,Units,2010_100,2010=100,106.8106
5102,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2019-Q2,Q2-2019,IDX,Index,0,Units,2010_100,2010=100,109.4721
5103,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2019-Q3,Q3-2019,IDX,Index,0,Units,2010_100,2010=100,111.9308
5104,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2019-Q4,Q4-2019,IDX,Index,0,Units,2010_100,2010=100,112.4151
5105,PRENTO01,"Production of total energy sa, Index",Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,0,Units,2010_100,2010=100,107.4329
5106,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-01,Jan-2017,IDX,Index,0,Units,2010_100,2010=100,99.21835
5107,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-02,Feb-2017,IDX,Index,0,Units,2010_100,2010=100,98.09349
5108,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-03,Mar-2017,IDX,Index,0,Units,2010_100,2010=100,100.4563
5109,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-04,Apr-2017,IDX,Index,0,Units,2010_100,2010=100,97.38424
5110,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-05,May-2017,IDX,Index,0,Units,2010_100,2010=100,99.91583
5111,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-06,Jun-2017,IDX,Index,0,Units,2010_100,2010=100,99.59312
5112,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-07,Jul-2017,IDX,Index,0,Units,2010_100,2010=100,97.14555
5113,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-08,Aug-2017,IDX,Index,0,Units,2010_100,2010=100,97.04321
5114,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-09,Sep-2017,IDX,Index,0,Units,2010_100,2010=100,98.36914
5115,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-10,Oct-2017,IDX,Index,0,Units,2010_100,2010=100,94.7718
5116,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-11,Nov-2017,IDX,Index,0,Units,2010_100,2010=100,100.9072
5117,PRENTO01,"Production of total energy sa, Index",M,Monthly,2017-12,Dec-2017,IDX,Index,0,Units,2010_100,2010=100,98.48205
5118,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-01,Jan-2018,IDX,Index,0,Units,2010_100,2010=100,107.339
5119,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-02,Feb-2018,IDX,Index,0,Units,2010_100,2010=100,109.0069
5120,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-03,Mar-2018,IDX,Index,0,Units,2010_100,2010=100,105.4211
5121,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-04,Apr-2018,IDX,Index,0,Units,2010_100,2010=100,108.7745
5122,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-05,May-2018,IDX,Index,0,Units,2010_100,2010=100,104.0205
5123,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-06,Jun-2018,IDX,Index,0,Units,2010_100,2010=100,107.6165
5124,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-07,Jul-2018,IDX,Index,0,Units,2010_100,2010=100,110.3086
5125,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-08,Aug-2018,IDX,Index,0,Units,2010_100,2010=100,107.8777
5126,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-09,Sep-2018,IDX,Index,0,Units,2010_100,2010=100,108.9961
5127,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-10,Oct-2018,IDX,Index,0,Units,2010_100,2010=100,106.6462
5128,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-11,Nov-2018,IDX,Index,0,Units,2010_100,2010=100,108.1391
5129,PRENTO01,"Production of total energy sa, Index",M,Monthly,2018-12,Dec-2018,IDX,Index,0,Units,2010_100,2010=100,104.4367
5130,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-01,Jan-2019,IDX,Index,0,Units,2010_100,2010=100,106.3098
5131,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-02,Feb-2019,IDX,Index,0,Units,2010_100,2010=100,107.2138
5132,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-03,Mar-2019,IDX,Index,0,Units,2010_100,2010=100,106.9082
5133,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-04,Apr-2019,IDX,Index,0,Units,2010_100,2010=100,109.2862
5134,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-05,May-2019,IDX,Index,0,Units,2010_100,2010=100,108.6418
5135,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-06,Jun-2019,IDX,Index,0,Units,2010_100,2010=100,110.4882
5136,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-07,Jul-2019,IDX,Index,0,Units,2010_100,2010=100,110.1766
5137,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-08,Aug-2019,IDX,Index,0,Units,2010_100,2010=100,112.8805
5138,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-09,Sep-2019,IDX,Index,0,Units,2010_100,2010=100,112.7353
5139,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-10,Oct-2019,IDX,Index,0,Units,2010_100,2010=100,112.443
5140,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-11,Nov-2019,IDX,Index,0,Units,2010_100,2010=100,112.0984
5141,PRENTO01,"Production of total energy sa, Index",M,Monthly,2019-12,Dec-2019,IDX,Index,0,Units,2010_100,2010=100,112.7038
5142,PRENTO01,"Production of total energy sa, Index",M,Monthly,2020-01,Jan-2020,IDX,Index,0,Units,2010_100,2010=100,106.4699
5143,PRENTO01,"Production of total energy sa, Index",M,Monthly,2020-02,Feb-2020,IDX,Index,0,Units,2010_100,2010=100,108.9739
5144,PRENTO01,"Production of total energy sa, Index",M,Monthly,2020-03,Mar-2020,IDX,Index,0,Units,2010_100,2010=100,106.8551
5145,SLRTTO01,"Total retail trade (Volume) sa, Index",A,Annual,2017,2017,IDX,Index,0,Units,2010_100,2010=100,105.0273
5146,SLRTTO01,"Total retail trade (Volume) sa, Index",A,Annual,2018,2018,IDX,Index,0,Units,2010_100,2010=100,106.6398
5147,SLRTTO01,"Total retail trade (Volume) sa, Index",A,Annual,2019,2019,IDX,Index,0,Units,2010_100,2010=100,108.7256
5148,SLRTTO01,"Total retail trade (Volume) sa, Index",Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,0,Units,2010_100,2010=100,104.3034
5149,SLRTTO01,"Total retail trade (Volume) sa, Index",Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,0,Units,2010_100,2010=100,105.5853
5150,SLRTTO01,"Total retail trade (Volume) sa, Index",Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,0,Units,2010_100,2010=100,104.6647
5151,SLRTTO01,"Total retail trade (Volume) sa, Index",Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,0,Units,2010_100,2010=100,105.9185
5152,SLRTTO01,"Total retail trade (Volume) sa, Index",Q,Quarterly,2018-Q1,Q1-2018,IDX,Index,0,Units,2010_100,2010=100,105.3078
5153,SLRTTO01,"Total retail trade (Volume) sa, Index",Q,Quarterly,2018-Q2,Q2-2018,IDX,Index,0,Units,2010_100,2010=100,106.8028
5154,SLRTTO01,"Total retail trade (Volume) sa, Index",Q,Quarterly,2018-Q3,Q3-2018,IDX,Index,0,Units,2010_100,2010=100,106.9577
5155,SLRTTO01,"Total retail trade (Volume) sa, Index",Q,Quarterly,2018-Q4,Q4-2018,IDX,Index,0,Units,2010_100,2010=100,107.8116
5156,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-01,Jan-2017,IDX,Index,0,Units,2010_100,2010=100,104.105
5157,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-02,Feb-2017,IDX,Index,0,Units,2010_100,2010=100,105.2208
5158,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-03,Mar-2017,IDX,Index,0,Units,2010_100,2010=100,103.5844
5159,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-04,Apr-2017,IDX,Index,0,Units,2010_100,2010=100,105.7403
5160,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-05,May-2017,IDX,Index,0,Units,2010_100,2010=100,105.3876
5161,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-06,Jun-2017,IDX,Index,0,Units,2010_100,2010=100,105.6279
5162,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-07,Jul-2017,IDX,Index,0,Units,2010_100,2010=100,104.9611
5163,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-08,Aug-2017,IDX,Index,0,Units,2010_100,2010=100,103.0091
5164,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-09,Sep-2017,IDX,Index,0,Units,2010_100,2010=100,106.0238
5165,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-10,Oct-2017,IDX,Index,0,Units,2010_100,2010=100,105.3633
5166,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-11,Nov-2017,IDX,Index,0,Units,2010_100,2010=100,106.39399999999999
5167,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2017-12,Dec-2017,IDX,Index,0,Units,2010_100,2010=100,105.9983
5168,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2018-01,Jan-2018,IDX,Index,0,Units,2010_100,2010=100,103.6033
5169,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2018-02,Feb-2018,IDX,Index,0,Units,2010_100,2010=100,104.8795
5170,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2018-03,Mar-2018,IDX,Index,0,Units,2010_100,2010=100,107.4405
5171,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2018-04,Apr-2018,IDX,Index,0,Units,2010_100,2010=100,105.0534
5172,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2018-05,May-2018,IDX,Index,0,Units,2010_100,2010=100,107.0815
5173,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2018-06,Jun-2018,IDX,Index,0,Units,2010_100,2010=100,108.2735
5174,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2018-07,Jul-2018,IDX,Index,0,Units,2010_100,2010=100,106.6455
5175,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2018-08,Aug-2018,IDX,Index,0,Units,2010_100,2010=100,104.8378
5176,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2018-09,Sep-2018,IDX,Index,0,Units,2010_100,2010=100,109.3899
5177,SLRTTO01,"Total retail trade (Volume) sa, Index",M,Monthly,2018-10,Oct-2018,IDX,Index,0,Units,2010_100,2010=100,107.5568
