,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value
832,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2018-10,Oct-2018,USD,US Dollar,9,Billions,,,-1.4037709999999999
833,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2018-11,Nov-2018,USD,US Dollar,9,Billions,,,-2.249977
834,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2018-12,Dec-2018,USD,US Dollar,9,Billions,,,0.17683629999999997
835,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-01,Jan-2019,USD,US Dollar,9,Billions,,,-1.054915
836,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-02,Feb-2019,USD,US Dollar,9,Billions,,,-0.03767911
837,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-03,Mar-2019,USD,US Dollar,9,Billions,,,-0.01238314
838,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-04,Apr-2019,USD,US Dollar,9,Billions,,,0.1808058
839,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-05,May-2019,USD,US Dollar,9,Billions,,,0.6425525
840,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-06,Jun-2019,USD,US Dollar,9,Billions,,,1.134922
841,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-07,Jul-2019,USD,US Dollar,9,Billions,,,0.2552024
842,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-08,Aug-2019,USD,US Dollar,9,Billions,,,1.4173360000000002
843,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-09,Sep-2019,USD,US Dollar,9,Billions,,,0.5533909
844,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-10,Oct-2019,USD,US Dollar,9,Billions,,,0.3666547
845,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-11,Nov-2019,USD,US Dollar,9,Billions,,,0.742861
846,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-12,Dec-2019,USD,US Dollar,9,Billions,,,1.3206040000000001
847,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-01,Jan-2020,USD,US Dollar,9,Billions,,,1.708809
848,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-02,Feb-2020,USD,US Dollar,9,Billions,,,1.338925
849,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-03,Mar-2020,USD,US Dollar,9,Billions,,,1.8726180000000001
850,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-04,Apr-2020,USD,US Dollar,9,Billions,,,-4.292707
1649,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,9,Billions,,,-3.4769120000000004
1650,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,9,Billions,,,-1.104977
1651,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,9,Billions,,,1.95828
1652,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,9,Billions,,,2.2259290000000003
1653,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,9,Billions,,,2.43012
1654,XTNTVA01,Net trade in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,9,Billions,,,4.9203529999999995
1969,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,9,Billions,,,113.6957
1970,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,9,Billions,,,114.8183
1971,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,9,Billions,,,116.9748
1972,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,9,Billions,,,115.9885
1973,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,9,Billions,,,112.7801
1974,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,9,Billions,,,113.9514
2620,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2018-10,Oct-2018,USD,US Dollar,9,Billions,,,38.08184
2621,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2018-11,Nov-2018,USD,US Dollar,9,Billions,,,37.42406
2622,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2018-12,Dec-2018,USD,US Dollar,9,Billions,,,38.1898
2623,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-01,Jan-2019,USD,US Dollar,9,Billions,,,38.0202
2624,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-02,Feb-2019,USD,US Dollar,9,Billions,,,38.39125
2625,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-03,Mar-2019,USD,US Dollar,9,Billions,,,38.40681
2626,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-04,Apr-2019,USD,US Dollar,9,Billions,,,38.96152
2627,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-05,May-2019,USD,US Dollar,9,Billions,,,39.28561
2628,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-06,Jun-2019,USD,US Dollar,9,Billions,,,38.727709999999995
2629,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-07,Jul-2019,USD,US Dollar,9,Billions,,,38.523070000000004
2630,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-08,Aug-2019,USD,US Dollar,9,Billions,,,39.52502
2631,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-09,Sep-2019,USD,US Dollar,9,Billions,,,37.9404
2632,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-10,Oct-2019,USD,US Dollar,9,Billions,,,37.44522
2633,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-11,Nov-2019,USD,US Dollar,9,Billions,,,37.4381
2634,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-12,Dec-2019,USD,US Dollar,9,Billions,,,37.896770000000004
2635,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-01,Jan-2020,USD,US Dollar,9,Billions,,,39.3558
2636,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-02,Feb-2020,USD,US Dollar,9,Billions,,,38.03617
2637,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-03,Mar-2020,USD,US Dollar,9,Billions,,,36.5594
2638,XTEXVA01,Exports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-04,Apr-2020,USD,US Dollar,9,Billions,,,22.78709
2985,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2018-10,Oct-2018,USD,US Dollar,9,Billions,,,39.485620000000004
2986,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2018-11,Nov-2018,USD,US Dollar,9,Billions,,,39.674040000000005
2987,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2018-12,Dec-2018,USD,US Dollar,9,Billions,,,38.01297
2988,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-01,Jan-2019,USD,US Dollar,9,Billions,,,39.07512
2989,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-02,Feb-2019,USD,US Dollar,9,Billions,,,38.428940000000004
2990,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-03,Mar-2019,USD,US Dollar,9,Billions,,,38.4192
2991,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-04,Apr-2019,USD,US Dollar,9,Billions,,,38.78071
2992,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-05,May-2019,USD,US Dollar,9,Billions,,,38.64305
2993,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-06,Jun-2019,USD,US Dollar,9,Billions,,,37.5928
2994,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-07,Jul-2019,USD,US Dollar,9,Billions,,,38.26787
2995,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-08,Aug-2019,USD,US Dollar,9,Billions,,,38.107690000000005
2996,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-09,Sep-2019,USD,US Dollar,9,Billions,,,37.38701
2997,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-10,Oct-2019,USD,US Dollar,9,Billions,,,37.07857
2998,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-11,Nov-2019,USD,US Dollar,9,Billions,,,36.69523
2999,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2019-12,Dec-2019,USD,US Dollar,9,Billions,,,36.57617
3000,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-01,Jan-2020,USD,US Dollar,9,Billions,,,37.647
3001,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-02,Feb-2020,USD,US Dollar,9,Billions,,,36.69724
3002,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-03,Mar-2020,USD,US Dollar,9,Billions,,,34.68679
3003,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",M,Monthly,2020-04,Apr-2020,USD,US Dollar,9,Billions,,,27.079790000000003
3271,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,9,Billions,,,117.1726
3272,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,9,Billions,,,115.9232
3273,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,9,Billions,,,115.0166
3274,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,9,Billions,,,113.7626
3275,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,9,Billions,,,110.35
3276,XTIMVA01,Imports in goods (value),CXMLSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,9,Billions,,,109.031
4671,XTEXVA01,Exports in goods (value),CXML,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,9,Billions,,,117.5493
4672,XTEXVA01,Exports in goods (value),CXML,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,9,Billions,,,108.0953
4673,XTEXVA01,Exports in goods (value),CXML,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,9,Billions,,,119.2682
4674,XTEXVA01,Exports in goods (value),CXML,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,9,Billions,,,116.3705
4675,XTEXVA01,Exports in goods (value),CXML,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,9,Billions,,,116.9699
4676,XTEXVA01,Exports in goods (value),CXML,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,9,Billions,,,108.5222
4677,XTIMVA01,Imports in goods (value),CXML,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,9,Billions,,,120.9126
4678,XTIMVA01,Imports in goods (value),CXML,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,9,Billions,,,109.8683
4679,XTIMVA01,Imports in goods (value),CXML,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,9,Billions,,,114.2599
