,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value
764,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,A,Annual,2017,2017,PC,Percentage,0,Units,,,8.078379
765,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,A,Annual,2018,2018,PC,Percentage,0,Units,,,6.079487
766,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,A,Annual,2019,2019,PC,Percentage,0,Units,,,2.918771
767,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,A,Annual,2017,2017,PC,Percentage,0,Units,,,10.23595
768,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,A,Annual,2018,2018,PC,Percentage,0,Units,,,8.972221000000001
769,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,A,Annual,2019,2019,PC,Percentage,0,Units,,,1.5840319999999999
770,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,A,Annual,2017,2017,PC,Percentage,0,Units,,,21.301
771,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,A,Annual,2018,2018,PC,Percentage,0,Units,,,24.624660000000002
772,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,A,Annual,2019,2019,PC,Percentage,0,Units,,,-5.657425
773,PIEAFD02,Economic activities - Domestic Producer prices - Manufacture of food products,GP,Percentage change from previous period,A,Annual,2017,2017,PC,Percentage,0,Units,,,6.242146
774,PIEAFD02,Economic activities - Domestic Producer prices - Manufacture of food products,GP,Percentage change from previous period,A,Annual,2018,2018,PC,Percentage,0,Units,,,4.7316
775,PIEAFD02,Economic activities - Domestic Producer prices - Manufacture of food products,GP,Percentage change from previous period,A,Annual,2019,2019,PC,Percentage,0,Units,,,3.9120779999999997
4766,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,Q,Quarterly,2017-Q1,Q1-2017,PC,Percentage,0,Units,,,4.673466
4767,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,Q,Quarterly,2017-Q2,Q2-2017,PC,Percentage,0,Units,,,-1.333861
4768,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,Q,Quarterly,2017-Q3,Q3-2017,PC,Percentage,0,Units,,,-0.9077008
4769,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,Q,Quarterly,2017-Q4,Q4-2017,PC,Percentage,0,Units,,,2.822874
4770,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,Q,Quarterly,2018-Q1,Q1-2018,PC,Percentage,0,Units,,,2.084718
4771,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,Q,Quarterly,2018-Q2,Q2-2018,PC,Percentage,0,Units,,,2.4121330000000003
4772,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,Q,Quarterly,2018-Q3,Q3-2018,PC,Percentage,0,Units,,,0.6068041000000001
4773,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,Q,Quarterly,2018-Q4,Q4-2018,PC,Percentage,0,Units,,,1.790931
4774,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,Q,Quarterly,2019-Q1,Q1-2019,PC,Percentage,0,Units,,,-0.07769788
4775,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,Q,Quarterly,2019-Q2,Q2-2019,PC,Percentage,0,Units,,,0.5937232
4776,PIEAMP02,Economic activities - Domestic producer prices - Manufacturing,GP,Percentage change from previous period,Q,Quarterly,2019-Q3,Q3-2019,PC,Percentage,0,Units,,,0.7215698
