,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value
54,GFSPB,Public sector,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,,,643463.446
55,GFSPB,Public sector,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,,,690135.9709999999
56,GFSPB,Public sector,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,,,767469.2540000001
57,GFSPB,Public sector,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,,,785517.272
58,GFSPB,Public sector,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,,,645666.287
59,GFSPB,Public sector,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q2,Q2-2019,MXN,Mexican Peso,6,Millions,,,615306.899
60,GFSPB,Public sector,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q3,Q3-2019,MXN,Mexican Peso,6,Millions,,,707209.9770000001
61,GFSPB,Public sector,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,,,689407.734
62,GFSPB,Public sector,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,,,160865.8615
63,GFSPB,Public sector,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,,,172533.99275
64,GFSPB,Public sector,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,,,191867.3135
65,GFSPB,Public sector,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,,,196379.318
66,GFSPB,Public sector,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,,,161416.57175
67,GFSPB,Public sector,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2019-Q2,Q2-2019,MXN,Mexican Peso,6,Millions,,,153826.72475
68,GFSPB,Public sector,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2019-Q3,Q3-2019,MXN,Mexican Peso,6,Millions,,,176802.49425
69,GFSPB,Public sector,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,,,172351.9335
70,GFSPB,Public sector,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,2013,2013,503617.22
